                    Trace  L2_ACCESS   L2_MISS L2_MISS_RATE
600.perlbench_s-1273B.txt     4177.0    2652.0       0.6349
      602.gcc_s-1850B.txt  1207413.0  892585.0       0.7393
   603.bwaves_s-2931B.txt  1162716.0  929416.0       0.7993
      605.mcf_s-1536B.txt  4764987.0 3640164.0       0.7639
607.cactuBSSN_s-2421B.txt  5452506.0 2144202.0       0.3933
      619.lbm_s-2676B.txt  6268180.0 4492167.0       0.7167
   620.omnetpp_s-141B.txt  1748757.0 1092700.0       0.6248
       621.wrf_s-575B.txt     2369.0    1239.0        0.523
 623.xalancbmk_s-165B.txt   951660.0  759880.0       0.7985
       625.x264_s-12B.txt    16966.0   10835.0       0.6386
      627.cam4_s-490B.txt  1298533.0  886716.0       0.6829
       628.pop2_s-17B.txt  1493795.0  499849.0       0.3346
 631.deepsjeng_s-928B.txt   130124.0   31702.0       0.2436
 638.imagick_s-10316B.txt   445742.0    7436.0       0.0167
     641.leela_s-149B.txt   307863.0  123316.0       0.4006
     644.nab_s-12459B.txt   332736.0   48560.0       0.1459
 648.exchange2_s-387B.txt    22950.0    1127.0       0.0491
649.fotonik3d_s-1176B.txt  1101194.0  732872.0       0.6655
      654.roms_s-293B.txt   876260.0  665983.0         0.76
       657.xz_s-4994B.txt    31055.0   10302.0       0.3317
              results.txt        NaN       NaN          N/A
