                    Trace  MISS_RATE_DRRIP  MISS_RATE_LRU  MISS_RATE_MRU  MISS_RATE_PLRU
600.perlbench_s-1273B.txt           0.6349         0.6347         0.6347          0.6347
      602.gcc_s-1850B.txt           0.7393         0.7383         0.7383          0.7383
   603.bwaves_s-2931B.txt           0.7993         0.6299         0.6294          0.6298
      605.mcf_s-1536B.txt           0.7639         0.5331         0.5322          0.5321
607.cactuBSSN_s-2421B.txt           0.3933         0.0623         0.0607          0.0620
      619.lbm_s-2676B.txt           0.7167         0.3313         0.3313          0.3313
   620.omnetpp_s-141B.txt           0.6248         0.5434         0.5433          0.5433
       621.wrf_s-575B.txt           0.5230         0.5230         0.5230          0.5230
 623.xalancbmk_s-165B.txt           0.7985         0.9993         0.9993          0.9993
       625.x264_s-12B.txt           0.6386         0.7101         0.7101          0.7101
      627.cam4_s-490B.txt           0.6829         0.4691         0.4693          0.4691
       628.pop2_s-17B.txt           0.3346         0.3032         0.3026          0.3034
 631.deepsjeng_s-928B.txt           0.2436         0.2206         0.2206          0.2207
 638.imagick_s-10316B.txt           0.0167         0.0044         0.0044          0.0044
     641.leela_s-149B.txt           0.4006         0.2917         0.2917          0.2917
     644.nab_s-12459B.txt           0.1459         0.1642         0.1642          0.1642
 648.exchange2_s-387B.txt           0.0491         0.0491         0.0491          0.0491
649.fotonik3d_s-1176B.txt           0.6655         0.4391         0.4391          0.4391
      654.roms_s-293B.txt           0.7600         0.5920         0.5920          0.5918
       657.xz_s-4994B.txt           0.3317         0.2963         0.2963          0.2963
