                    Trace  L2_ACCESS   L2_MISS L2_MISS_RATE
600.perlbench_s-1273B.txt     4177.0    2651.0       0.6347
      602.gcc_s-1850B.txt  1207406.0  891470.0       0.7383
   603.bwaves_s-2931B.txt  1162683.0  732350.0       0.6299
      605.mcf_s-1536B.txt  4765193.0 2540294.0       0.5331
607.cactuBSSN_s-2421B.txt  5464175.0  340211.0       0.0623
      619.lbm_s-2676B.txt  6268310.0 2076635.0       0.3313
   620.omnetpp_s-141B.txt  1748697.0  950211.0       0.5434
       621.wrf_s-575B.txt     2369.0    1239.0        0.523
 623.xalancbmk_s-165B.txt   951660.0  951002.0       0.9993
       625.x264_s-12B.txt    16966.0   12048.0       0.7101
      627.cam4_s-490B.txt  1298541.0  609189.0       0.4691
       628.pop2_s-17B.txt  1493896.0  452940.0       0.3032
 631.deepsjeng_s-928B.txt   130123.0   28710.0       0.2206
 638.imagick_s-10316B.txt   445742.0    1954.0       0.0044
     641.leela_s-149B.txt   307873.0   89802.0       0.2917
     644.nab_s-12459B.txt   332684.0   54631.0       0.1642
 648.exchange2_s-387B.txt    22950.0    1127.0       0.0491
649.fotonik3d_s-1176B.txt  1101194.0  483561.0       0.4391
      654.roms_s-293B.txt   876157.0  518663.0        0.592
       657.xz_s-4994B.txt    31055.0    9201.0       0.2963
              results.txt        NaN       NaN          N/A
