                    Trace  L2_ACCESS   L2_MISS L2_MISS_RATE
600.perlbench_s-1273B.txt     4177.0    2651.0       0.6347
      602.gcc_s-1850B.txt  1207404.0  891470.0       0.7383
   603.bwaves_s-2931B.txt  1163212.0  732115.0       0.6294
      605.mcf_s-1536B.txt  4766822.0 2537840.0       0.5324
607.cactuBSSN_s-2421B.txt  5463842.0  327245.0       0.0599
      619.lbm_s-2676B.txt  6268304.0 2076626.0       0.3313
   620.omnetpp_s-141B.txt  1748596.0  950106.0       0.5434
       621.wrf_s-575B.txt     2369.0    1239.0        0.523
 623.xalancbmk_s-165B.txt   951660.0  951002.0       0.9993
       625.x264_s-12B.txt    16966.0   12048.0       0.7101
      627.cam4_s-490B.txt  1298525.0  609424.0       0.4693
       628.pop2_s-17B.txt  1493833.0  452462.0       0.3029
 631.deepsjeng_s-928B.txt   130123.0   28712.0       0.2207
 638.imagick_s-10316B.txt   445742.0    1954.0       0.0044
     641.leela_s-149B.txt   307873.0   89802.0       0.2917
     644.nab_s-12459B.txt   332684.0   54631.0       0.1642
 648.exchange2_s-387B.txt    22950.0    1127.0       0.0491
649.fotonik3d_s-1176B.txt  1101194.0  483572.0       0.4391
      654.roms_s-293B.txt   876103.0  518621.0        0.592
       657.xz_s-4994B.txt    31055.0    9201.0       0.2963
              results.txt        NaN       NaN          N/A
