                    Trace  L2_ACCESS   L2_MISS L2_MISS_RATE
600.perlbench_s-1273B.txt     4177.0    2651.0       0.6347
      602.gcc_s-1850B.txt  1207407.0  891470.0       0.7383
   603.bwaves_s-2931B.txt  1162878.0  732377.0       0.6298
      605.mcf_s-1536B.txt  4765511.0 2535877.0       0.5321
607.cactuBSSN_s-2421B.txt  5464649.0  338699.0        0.062
      619.lbm_s-2676B.txt  6268329.0 2076554.0       0.3313
   620.omnetpp_s-141B.txt  1748655.0  950005.0       0.5433
       621.wrf_s-575B.txt     2369.0    1239.0        0.523
 623.xalancbmk_s-165B.txt   951660.0  951002.0       0.9993
       625.x264_s-12B.txt    16966.0   12048.0       0.7101
      627.cam4_s-490B.txt  1298528.0  609194.0       0.4691
       628.pop2_s-17B.txt  1493876.0  453215.0       0.3034
 631.deepsjeng_s-928B.txt   130123.0   28712.0       0.2207
 638.imagick_s-10316B.txt   445742.0    1954.0       0.0044
     641.leela_s-149B.txt   307873.0   89802.0       0.2917
     644.nab_s-12459B.txt   332684.0   54631.0       0.1642
 648.exchange2_s-387B.txt    22950.0    1127.0       0.0491
649.fotonik3d_s-1176B.txt  1101194.0  483580.0       0.4391
      654.roms_s-293B.txt   876140.0  518513.0       0.5918
       657.xz_s-4994B.txt    31055.0    9201.0       0.2963
              results.txt        NaN       NaN          N/A
