Trace,L2_ACCESS,L2_MISS,L2_MISS_RATE
600.perlbench_s-1273B.txt,4177.0,2651.0,0.6347
602.gcc_s-1850B.txt,1207401.0,913289.0,0.7564
603.bwaves_s-2931B.txt,1162815.0,733824.0,0.6311
605.mcf_s-1536B.txt,4765051.0,2661857.0,0.5586
607.cactuBSSN_s-2421B.txt,5463978.0,438016.0,0.0802
619.lbm_s-2676B.txt,6268316.0,2312247.0,0.3689
620.omnetpp_s-141B.txt,1748685.0,992073.0,0.5673
621.wrf_s-575B.txt,2369.0,1239.0,0.523
623.xalancbmk_s-165B.txt,951660.0,951002.0,0.9993
625.x264_s-12B.txt,16966.0,11565.0,0.6817
627.cam4_s-490B.txt,1298537.0,632970.0,0.4874
628.pop2_s-17B.txt,1493818.0,505368.0,0.3383
631.deepsjeng_s-928B.txt,130122.0,32441.0,0.2493
638.imagick_s-10316B.txt,445742.0,2213.0,0.005
641.leela_s-149B.txt,307869.0,90400.0,0.2936
644.nab_s-12459B.txt,332634.0,61505.0,0.1849
648.exchange2_s-387B.txt,22950.0,1127.0,0.0491
649.fotonik3d_s-1176B.txt,1101194.0,527520.0,0.479
654.roms_s-293B.txt,876170.0,515831.0,0.5887
657.xz_s-4994B.txt,31056.0,9598.0,0.3091
results.txt,,,N/A
